PhotoBatch,SampleID,DeathDate,Individual,Sex,EclosionDate,DateConf,Age,Cage,CageConf,WingLength,Discal cell forewing,Discal cell hindwing,IntactWing,Comment,,,NotLegible
90,2023-10-03_0034,2023-10-03,0034,Male,2023-08-18,High,46,W,High,NA,2.544,2.169,No,Wings frayed,,,
90,2023-10-03_0035,2023-10-03,0035,Male,2023-08-12,High,52,W,High,NA,2.587,2.08,No,Wings frayed,,,
90,2023-10-03_0036,2023-10-03,0036,Male,2023-08-13,High,51,C2,High,48.329,2.556,2.08,No,Wings frayed,,,
90,2023-10-03_0037,2023-10-03,0037,Female,2023-09-10,High,23,W,High,NA,2.073,1.73,No,Wings frayed,,,
90,2023-10-03_0038,2023-10-03,0038,Male,2023-09-03,Low,30,P1,High,46.848,2.419,2.192,Yes,"Right wings missing, date difficult to read",,,
90,2023-10-03_0039,2023-10-03,0039,Male,2023-08-18,Low,46,W,High,NA,2.659,2.066,No,"Wings frayed, date difficult to read",,,
90,2023-10-03_0040,2023-10-03,0040,Female,2023-09-10,Low,23,C1,High,NA,2.362,1.955,No,"Wings frayed, date difficult to read",,,
90,2023-10-03_0041,2023-10-03,0041,Male,2023-08-28,High,36,C2,Low,NA,2.119,1.901,No,"Wings frayed, cage difficult to read",,,
90,2023-10-03_0042,2023-10-03,0042,Male,2023-08-18,High,46,W,High,NA,2.496,2.058,No,Wings frayed,,,
90,2023-10-03_0043,2023-10-03,0043,Male,2023-08-28,High,36,W,High,NA,2.361,1.94,No,Wings frayed,,,
90,2023-10-03_0044,2023-10-03,0044,Female,2023-09-06,High,27,C1,High,NA,2.304,1.872,No,Wings frayed,,,
90,2023-10-03_0045,2023-10-03,0045,Male,NA,NA,NA,C1,Low,42.179,2.288,2.137,Yes,"Wings frayed but measurable, date missing/frayed, cage difficult to read",,,
91,2023-10-03_0046,2023-10-03,0046,Female,2023-09-03,Low,30,C8,High,47.497,2.447,2.033,Yes,Date difficult to read,,,
91,2023-10-03_0047,2023-10-03,0047,Female,2023-09-16,Low,17,C8,High,42.480,2.184,1.767,Yes,Date difficult to read,,,
91,2023-10-03_0048,2023-10-03,0048,Female,2023-09-11,High,22,C8,High,48.303,2.367,1.899,Yes,,,,
91,2023-10-03_0049,2023-10-03,0049,Female,2023-09-27,Low,6,C8,High,46.157,2.261,2.042,Yes,Date difficult to read,,,
91,2023-10-03_0050,2023-10-03,0050,Female,2023-09-10,High,23,C8,High,45.638,2.218,1.896,Yes,,,,
91,2023-10-03_0051,2023-10-03,0051,Female,2023-09-05,High,28,C8,High,47.780,2.417,2.091,Yes,,,,
91,2023-10-03_0052,2023-10-03,0052,Female,2023-09-20,High,13,C8,High,44.434,2.16,1.89,Yes,,,,
91,2023-10-03_0053,2023-10-03,0053,Male,2023-08-24,High,40,C8,High,50.619,2.638,2.081,Yes,,,,
91,2023-10-03_0054,2023-10-03,0054,Male,2023-09-09,High,24,C8,High,51.561,2.7,2.204,Yes,,,,
91,2023-10-03_0055,2023-10-03,0055,Female,2023-09-11,High,22,C8,High,41.277,2.246,1.909,Yes,,,,
91,2023-10-03_0056,2023-10-03,0056,Female,2023-09-09,High,24,C8,High,48.303,2.498,2.078,Yes,,,,
91,2023-10-03_0057,2023-10-03,0057,Female,2023-09-03,High,30,C8,High,47.926,2.477,2.063,Yes,,,,
91,2023-10-03_0058,2023-10-03,0058,Female,2023-09-09,High,24,C8,High,45.127,2.248,2.038,Yes,,,,
91,2023-10-03_0059,2023-10-03,0059,Female,2023-09-06,High,27,C8,High,49.079,2.197,1.907,Yes,,,,
91,2023-10-03_0060,2023-10-03,0060,Female,2023-09-09,High,24,C8,High,44.920,2.227,1.946,Yes,,,,
92,2023-10-03_0061,2023-10-03,0061,Male,2023-09-09,High,24,C8,High,47.699,2.369,1.853,Yes,,,,
92,2023-10-03_0062,2023-10-03,0062,Male,2023-09-11,High,22,C8,High,47.491,2.622,2.1,Yes,,,,
92,2023-10-03_0063,2023-10-03,0063,Female,2023-09-11,High,22,C8,High,41.944,2.213,1.91,Yes,Wings frayed but measurable,,,
92,2023-10-03_0064,2023-10-03,0064,Male,2023-09-05,High,28,C8,High,43.167,2.319,1.909,Yes,,,,
92,2023-10-03_0065,2023-10-03,0065,Male,2023-09-09,High,24,C8,High,48.393,2.396,1.989,Yes,,,,
92,2023-10-03_0066,2023-10-03,0066,Male,2023-09-11,Low,22,C8,High,42.408,2.21,2.064,Yes,"Date difficult to read, wings frayed but measurable",,,
93,2023-10-03_0067,2023-10-03,0067,Female,2023-09-09,High,24,C8,High,43.117,2.113,1.723,Yes,,,,
93,2023-10-03_0068,2023-10-03,0068,Female,2023-07-22,Low,73,C8,High,43.221,2.087,1.847,Yes,Date is legable but seems unrealistic,,,
93,2023-10-03_0069,2023-10-03,0069,Male,2023-09-03,Low,30,C8,High,42.169,2.244,1.837,Yes,Date difficult to read,,,
93,2023-10-03_0070,2023-10-03,0070,Male,2023-09-09,High,24,C8,High,39.881,2.127,1.793,Yes,,,,
93,2023-10-03_0071,2023-10-03,0071,Male,2023-09-04,Low,29,C8,Low,43.834,2.332,1.874,Yes,"Date and cage difficult to read, wings frayed but measurable",,,
93,2023-10-03_0072,2023-10-03,0072,Female,2023-09-09,High,24,C8,High,40.692,2.081,1.796,Yes,,,,
93,2023-10-03_0073,2023-10-03,0073,Female,2023-09-03,Low,30,C8,High,NA,2.144,1.866,No,"Wings frayed, date difficult to read",,,
93,2023-10-03_0074,2023-10-03,0074,Male,2023-08-18,Low,46,C8,High,NA,2.214,1.897,No,"Wings frayed, date difficult to read",,,
82,2023-09-28_0001,2023-09-28,0001,Male,2023-09-09,High,19,C2,High,48.824,2.417,2,Yes,,,,
82,2023-09-28_0002,2023-09-28,0002,Female,2023-09-11,High,17,P1,High,53.980,2.764,2.234,Yes,,,,
82,2023-09-28_0003,2023-09-28,0003,Male,2023-08-22,High,37,W,High,51.267,2.597,2.195,Yes,,,,
82,2023-09-28_0004,2023-09-28,0004,Female,2023-09-06,High,22,C2,High,45.649,2.323,1.972,Yes,,,,
82,2023-09-28_0005,2023-09-28,0005,Male,2023-08-28,High,31,W,High,47.132,2.304,1.922,Yes,,,,
83,2023-09-28_0006,2023-09-28,0006,Female,2023-08-20,Low,39,C2,High,42.426,2.139,1.811,Yes,Date difficult to read,,,
84,2023-09-28_0007,2023-09-28,0007,Female,2023-09-01,High,27,C2,High,51.228,2.429,2.004,Yes,,,,
84,2023-09-28_0008,2023-09-28,0008,Female,2023-09-09,High,19,W,High,45.685,2.303,1.898,Yes,,,,
84,2023-09-28_0009,2023-09-28,0009,Male,2023-09-09,High,19,C8,High,43.882,2.199,1.848,Yes,Wings frayed but measurable,,,
84,2023-09-28_0010,2023-09-28,0010,Female,2023-09-01,High,27,P1,High,NA,2.257,1.808,Yes,Wings frayed but measurable,,,
84,2023-09-28_0011,2023-09-28,0011,Female,2023-09-25,High,3,W,High,46.587,2.395,2.009,Yes,,,,
84,2023-09-28_0012,2023-09-28,0012,Male,2023-08-28,High,31,W,High,46.270,2.315,1.971,Yes,,,,
84,2023-09-28_0013,2023-09-28,0013,Female,2023-09-09,High,19,W,High,41.752,2.132,1.759,Yes,,,,
84,2023-09-28_0014,2023-09-28,0014,Male,2023-09-12,High,16,C2,High,47.650,2.399,2.041,Yes,Wing frayed but measurable,,,
84,2023-09-28_0015,2023-09-28,0015,Female,2023-09-15,Low,13,C8,Low,44.086,2.273,1.925,Yes,Date and cage difficult to read,,,
85,2023-09-28_0016,2023-09-28,0016,Male,2023-09-03,Low,25,C8,High,47.132,2.405,1.903,Yes,"Date difficult to read, wings frayed but measurable",,,
85,2023-09-28_0017,2023-09-28,0017,Male,2023-09-26,High,2,C2,High,41.363,2.015,1.734,Yes,,,,
85,2023-09-28_0018,2023-09-28,0018,Male,2023-08-18,High,41,W,High,NA,2.431,1.971,Yes,Wings frayed but measurable,,,
85,2023-09-28_0019,2023-09-28,0019,Male,2023-09-09,High,19,C2,High,NA,2.406,1.985,No,Wings frayed,,,
85,2023-09-28_0020,2023-09-28,0020,Female,2023-09-09,High,19,C8,High,46.890,2.231,1.915,Yes,,,,
85,2023-09-28_0021,2023-09-28,0021,Male,2023-09-06,High,22,C8,High,42.175,2.354,2.062,No,Wings frayed,,,
85,2023-09-28_0022,2023-09-28,0022,Male,2023-08-12,High,47,C2,High,NA,2.708,2.083,No,Wings frayed,,,
85,2023-09-28_0023,2023-09-28,0023,Male,2023-08-19,High,40,C2,High,NA,2.615,1.97,No,Wings frayed,,,
85,2023-09-28_0024,2023-09-28,0024,Male,2023-09-09,High,19,C2,High,NA,2.417,1.928,No,Wings frayed,,,
80,2023-09-26_0001,2023-09-26,0001,Female,2023-08-30,High,27,C8,High,48.270,2.4,2.019,Yes,,,,
80,2023-09-26_0002,2023-09-26,0002,Female,2023-08-25,High,32,W,High,48.683,2.229,1.868,Yes,,,,
81,2023-09-26_0003,2023-09-26,0003,Female,2023-08-30,High,27,W,High,49.781,2.41,2.016,Yes,,,,
81,2023-09-26_0004,2023-09-26,0004,Female,2023-09-09,High,17,C2,High,48.128,2.424,1.944,Yes,,,,
81,2023-09-26_0005,2023-09-26,0005,Female,2023-08-20,High,37,W,High,45.767,2.394,2.085,Yes,,,,
81,2023-09-26_0006,2023-09-26,0006,Female,2023-08-29,High,28,C2,Low,46.052,2.301,1.998,Yes,Cage difficult to read,,,
81,2023-09-26_0007,2023-09-26,0007,Female,2023-08-30,High,27,C2,Low,47.647,2.457,2.128,Yes,Cage difficult to read,,,
81,2023-09-26_0008,2023-09-26,0008,Female,2023-08-19,High,38,C8,High,48.794,2.401,2.102,Yes,,,,
81,2023-09-26_0009,2023-09-26,0009,Female,2023-09-01,High,25,C2,High,51.735,2.538,2.125,Yes,,,,
81,2023-09-26_0010,2023-09-26,0010,Female,2023-09-09,High,17,C2,High,50.668,2.439,1.978,Yes,,,,
81,2023-09-26_0011,2023-09-26,0011,Female,2023-09-09,High,17,C8,High,48.865,2.456,2.098,Yes,,,,
81,2023-09-26_0012,2023-09-26,0012,Female,2023-09-06,Low,20,C2,High,48.091,2.487,2.122,Yes,"Wing frayed but measurable, date difficult to read",,,
81,2023-09-26_0013,2023-09-26,0013,Female,2023-09-06,High,20,C8,High,44.503,2.224,1.881,Yes,,,,
81,2023-09-26_0014,2023-09-26,0014,Male,NA,NA,NA,C2,High,50.060,2.796,2.292,No,"Wings frayed, date missing",,,
81,2023-09-26_0015,2023-09-26,0015,Male,NA,NA,NA,W,High,NA,2.582,2.065,No,"Wings frayed, date missing",,,
78,2023-09-25_0001,2023-09-25,0001,Female,2023-09-09,High,16,C2,High,50.741,2.474,1.961,Yes,,,,
78,2023-09-25_0002,2023-09-25,0002,Female,2023-09-06,High,19,W,Low,47.715,2.54,2.057,Yes,Cage difficult to read,,,
78,2023-09-25_0003,2023-09-25,0003,Male,2023-08-29,High,27,C8,High,44.821,2.417,1.919,Yes,,,,
78,2023-09-25_0004,2023-09-25,0004,Female,2023-08-25,High,31,C8,High,49.725,2.313,2.092,Yes,,,,
78,2023-09-25_0005,2023-09-25,0005,Male,2023-09-06,Low,19,C2,High,43.749,2.421,1.895,Yes,Date difficult to read,,,
78,2023-09-25_0006,2023-09-25,0006,Female,2023-08-28,Low,28,W,High,50.178,2.487,2.015,Yes,Date difficult to read,,,
78,2023-09-25_0007,2023-09-25,0007,Female,2023-09-06,High,19,C2,High,47.053,2.393,1.973,Yes,,,,
78,2023-09-25_0008,2023-09-25,0008,Female,2023-08-25,High,31,C8,High,45.559,2.24,1.993,Yes,,,,
79,2023-09-25_0009,2023-09-25,0009,Male,2023-08-19,High,37,C2,High,50.230,2.576,2.102,Yes,,,,
79,2023-09-25_0010,2023-09-25,0010,Male,2023-09-01,Low,24,C8,High,43.791,2.463,2.1,Yes,"Wings frayed but measurable, date difficult to read",,,
79,2023-09-25_0011,2023-09-25,0011,Male,2023-08-18,High,38,C2,High,50.274,2.504,1.948,Yes,Wings frayed but measurable,,,
76,2023-09-24_0001,2023-09-24,0001,Female,2023-08-28,Low,27,C2,High,46.089,2.443,1.887,Yes,Date difficult to read,,,
76,2023-09-24_0002,2023-09-24,0002,Male,2023-09-09,High,15,C2,Low,48.130,2.367,2.031,Yes,Cage difficult to read,,,
76,2023-09-24_0003,2023-09-24,0003,Female,2023-09-09,Low,15,C2,High,52.047,2.678,2.212,Yes,Date difficult to read,,,
76,2023-09-24_0004,2023-09-24,0004,Female,2023-09-06,High,18,C2,High,47.557,2.402,2.091,Yes,,,,
76,2023-09-24_0005,2023-09-24,0005,Male,2023-09-07,Low,17,C8,High,41.439,2.289,1.865,Yes,Date difficult to read,,,
76,2023-09-24_0006,2023-09-24,0006,Female,2023-08-30,High,25,C2,High,45.308,2.398,1.941,Yes,,,,
77,2023-09-24_0007,2023-09-24,0007,Male,2023-08-28,Low,27,C2,High,46.261,2.474,2.067,Yes,Date difficult to read,,,
77,2023-09-24_0008,2023-09-24,0008,Female,2023-09-06,Low,18,C2,High,44.479,2.367,2.053,Yes,Date difficult to read,,,
77,2023-09-24_0009,2023-09-24,0009,Female,2023-08-24,Low,31,C8,High,49.169,2.434,2.085,Yes,Date difficult to read,,,
77,2023-09-24_0010,2023-09-24,0010,Male,2023-08-28,High,27,C8,High,47.591,2.563,2.053,Yes,,,,
77,2023-09-24_0011,2023-09-24,0011,Male,2023-08-19,High,36,C8,High,44.458,2.531,2.184,Yes,wings frayed but measurable,,,
77,2023-09-24_0012,2023-09-24,0012,Male,2023-08-21,High,34,C8,High,48.703,2.646,2.122,Yes,,,,
77,2023-09-24_0013,2023-09-24,0013,Female,2023-09-12,Low,12,C2,High,42.250,1.955,1.68,Yes,Date difficult to read,,,
77,2023-09-24_0014,2023-09-24,0014,Male,2023-08-18,High,37,W,High,48.453,2.694,2.032,Yes,,,,
77,2023-09-24_0015,2023-09-24,0015,Male,2023-08-28,High,27,C2,High,NA,2.47,2.104,Yes,Wings frayed but measurable,,,
75,2023-09-22_0001,2023-09-22,0001,Female,2023-09-06,High,16,P1,High,50.379,2.546,2.045,Yes,,,,
75,2023-09-22_0002,2023-09-22,0002,Male,2023-08-19,High,34,C2,High,49.148,2.561,2.061,Yes,,,,
75,2023-09-22_0003,2023-09-22,0003,Male,2023-09-09,High,13,C2,High,44.739,2.332,1.94,Yes,Wings frayed but measurable,,,
74,2023-09-21_0001,2023-09-21,0001,Female,2023-09-10,Low,11,C8,High,44.644,2.259,1.899,Yes,Date difficult to read,,,
74,2023-09-21_0002,2023-09-21,0002,Female,2023-09-09,High,12,C8,High,47.418,2.362,1.926,Yes,,,,
74,2023-09-21_0003,2023-09-21,0003,Male,2023-08-16,Low,36,W,High,48.748,2.537,1.939,Yes,Date difficult to read,,,
74,2023-09-21_0004,2023-09-21,0004,Male,2023-08-28,High,24,C8,High,46.766,2.423,1.899,Yes,,,,
74,2023-09-21_0005,2023-09-21,0005,Male,2023-08-12,High,40,W,High,53.372,2.561,2.176,Yes,Wings frayed but measurable,,,
74,2023-09-21_0006,2023-09-21,0006,Female,2023-09-12,Low,9,C2,High,44.537,2.231,1.842,Yes,Date difficult to read,,,
74,2023-09-21_0007,2023-09-21,0007,Female,2023-08-28,High,24,C2,High,45.070,2.361,1.86,Yes,,,,
74,2023-09-21_0008,2023-09-21,0008,Female,2023-08-28,High,24,W,High,49.945,2.456,2.096,Yes,Wings frayed but measurable,,,
74,2023-09-21_0009,2023-09-21,0009,Female,2023-08-25,High,27,C2,High,47.201,2.451,2.082,Yes,Wings frayed but measurable,,,
74,2023-09-21_0010,2023-09-21,0010,Female,NA,NA,NA,NA,NA,49.866,2.431,1.958,Yes,No date and cage written,,,
74,2023-09-21_0011,2023-09-21,0011,Male,2023-08-29,High,23,C8,High,47.009,2.468,1.975,Yes,Wings frayed but measurable,,,
74,2023-09-21_0012,2023-09-21,0012,Female,2023-08-14,High,38,C8,High,53.219,2.612,2.074,No,Wings frayed,,,
74,2023-09-21_0013,2023-09-21,0013,Male,2023-08-09,High,43,W,High,NA,3.049,2.358,No,Wings frayed,,,
74,2023-09-21_0014,2023-09-21,0014,Female,2023-08-19,Low,33,W,High,NA,2.262,1.855,No,"Wings frayed, date difficult to read",,,
72,2023-09-19_0001,2023-09-19,0001,Female,2023-09-08,Low,11,C8,High,44.880,2.161,1.9,Yes,Date difficult to read,,,
72,2023-09-19_0002,2023-09-19,0002,Female,2023-08-24,High,26,C8,High,44.632,2.284,1.909,Yes,,,,
72,2023-09-19_0003,2023-09-19,0003,Female,2023-09-06,High,13,P1,High,51.479,2.623,2.077,Yes,,,,
72,2023-09-19_0004,2023-09-19,0004,Female,2023-09-06,High,13,P1,High,49.458,2.442,1.949,Yes,,,,
72,2023-09-19_0005,2023-09-19,0005,Female,2023-08-28,Low,22,W,High,47.234,2.392,1.924,Yes,Date difficult to read,,,
72,2023-09-19_0006,2023-09-19,0006,Female,2023-08-24,High,26,C2,High,50.259,2.509,2.073,Yes,,,,
72,2023-09-19_0007,2023-09-19,0007,Female,2023-08-18,High,32,W,High,49.420,2.337,1.851,Yes,,,,
72,2023-09-19_0008,2023-09-19,0008,Female,2023-08-14,High,36,C2,High,50.543,2.517,2.073,Yes,,,,
73,2023-09-19_0009,2023-09-19,0009,Female,2023-08-18,High,32,C8,High,42.233,2.13,1.855,Yes,,,,
73,2023-09-19_0010,2023-09-19,0010,Male,2023-08-20,Low,30,W,High,52.837,2.533,1.978,Yes,Date difficult to read,,,
73,2023-09-19_0011,2023-09-19,0011,Female,2023-08-18,High,32,C8,High,50.433,2.418,1.941,Yes,,,,
73,2023-09-19_0012,2023-09-19,0012,Male,2023-08-05,High,45,W,High,48.085,2.509,2.19,Yes,Wings frayed but measurable,,,
73,2023-09-19_0013,2023-09-19,0013,Female,NA,NA,NA,NA,NA,45.759,2.336,1.989,Yes,No date or cage written,,,
73,2023-09-19_0014,2023-09-19,0014,Female,2023-08-25,High,25,C8,High,49.668,2.347,1.973,Yes,,,,
73,2023-09-19_0015,2023-09-19,0015,Female,2023-08-19,High,31,C2,High,48.815,2.311,1.97,Yes,,,,
73,2023-09-19_0016,2023-09-19,0016,Female,2023-08-19,High,31,W,High,50.657,2.422,2.07,Yes,Wings frayed but measurable,,,
73,2023-09-19_0017,2023-09-19,0017,Male,2023-08-16,High,34,C2,High,49.767,2.667,2.199,Yes,Wings frayed but measurable,,,
73,2023-09-19_0018,2023-09-19,0018,Male,2023-08-21,High,29,C8,High,43.688,2.455,2.092,Yes,Wings frayed but measurable,,,
73,2023-09-19_0019,2023-09-19,0019,Female,2023-08-16,High,34,W,High,NA,2.361,1.887,Yes,Wings frayed but measurable,,,
73,2023-09-19_0020,2023-09-19,0020,Male,2023-08-19,High,31,C8,High,NA,3.302,2.25,No,Wings frayed ,,,
71,2023-09-16_0001,2023-09-16,0001,Male,2023-08-21,High,26,C8,High,46.618,2.533,2.081,Yes,,,,
71,2023-09-16_0002,2023-09-16,0002,Male,2023-09-01,High,15,P1,High,52.357,2.641,2.143,Yes,,,,
71,2023-09-16_0003,2023-09-16,0003,Female,2023-08-18,High,29,C2,High,48.127,2.238,1.959,Yes,,,,
71,2023-09-16_0004,2023-09-16,0004,Female,2023-09-02,Low,14,C2,High,42.513,2.152,1.778,Yes,Date difficult to read,,,
71,2023-09-16_0005,2023-09-16,0005,Male,2023-08-28,High,19,W,High,49.032,2.62,2.063,Yes,Wings frayed but measurable,,,
71,2023-09-16_0006,2023-09-16,0006,Female,2023-08-23,High,24,C8,High,49.628,2.253,1.849,Yes,Wings frayed but measurable,,,
71,2023-09-16_0007,2023-09-16,0007,Female,2023-08-25,High,22,C2,High,42.606,2.114,1.88,Yes,,,,
71,2023-09-16_0008,2023-09-16,0008,Male,2023-08-19,High,28,C8,High,46.775,2.424,2.056,Yes,Wings frayed but measurable,,,
71,2023-09-16_0009,2023-09-16,0009,Male,2023-08-12,High,35,C2,High,48.125,2.463,2.023,Yes,Wings frayed but measurable,,,
71,2023-09-16_0010,2023-09-16,0010,Male,2023-09-12,Low,4,C2,High,49.342,2.52,2.22,Yes,"Wings frayed but measurable, date difficult to read",,,
71,2023-09-16_0011,2023-09-16,0011,Male,2023-08-30,Low,17,W,High,47.773,2.55,2.063,Yes,"Wings frayed but measurable, date difficult to read",,,
71,2023-09-16_0012,2023-09-16,0012,Male,NA,NA,NA,NA,NA,NA,2.521,2.023,No,"No date or cage visable, wings frayed",,,
70,2023-09-13_0001,2023-09-13,0001,Male,2023-08-30,High,14,W,High,47.49,2.545,2.091,Yes,,,,
70,2023-09-13_0002,2023-09-13,0002,Female,2023-08-12,High,32,W,High,49.532,2.467,2.052,Yes,,,,
70,2023-09-13_0003,2023-09-13,0003,Female,2023-08-12,High,32,C2,High,50.478,2.541,2.046,Yes,,,,
70,2023-09-13_0004,2023-09-13,0004,Female,2023-08-18,High,26,W,High,52.567,2.506,2.051,Yes,,,,
70,2023-09-13_0005,2023-09-13,0005,Female,2023-08-07,Low,37,C2,Low,48.978,2.533,2.084,Yes,Date and cage difficult to read,,,
70,2023-09-13_0006,2023-09-13,0006,Female,2023-09-01,High,12,P1,High,44.776,2.336,1.74,Yes,Wings frayed but measurable,,,
70,2023-09-13_0007,2023-09-13,0007,Female,2023-08-18,High,26,C2,High,48.814,2.52,2.088,Yes,Wings frayed but measurable,,,
70,2023-09-13_0008,2023-09-13,0008,Male,2023-08-19,High,25,C2,High,48.246,2.646,2.142,Yes,Wings frayed but measurable,,,
70,2023-09-13_0009,2023-09-13,0009,Male,2023-08-28,High,16,W,High,51.776,2.536,2.125,Yes,Wings frayed but measurable,,,
70,2023-09-13_0010,2023-09-13,0010,Female,2023-08-12,High,32,W,High,53.140,2.708,2.153,Yes,Wings frayed but measurable,,,
70,2023-09-13_0011,2023-09-13,0011,Female,2023-08-18,High,26,C8,High,NA,2.202,1.923,No,Wings frayed,,,
69,2023-09-12_0001,2023-09-12,0001,Male,2023-08-25,High,18,C8,High,49.782,2.555,2.231,Yes,Wings frayed but measurable,,,
69,2023-09-12_0002,2023-09-12,0002,Male,2023-09-10,Low,2,W,High,44.004,2.383,1.976,Yes,Date difficult to read,,,
69,2023-09-12_0003,2023-09-12,0003,Female,2023-08-18,High,25,W,High,54.151,2.66,2.085,Yes,,,,
69,2023-09-12_0004,2023-09-12,0004,Female,2023-08-16,High,27,W,High,48.090,2.364,1.892,Yes,Wings frayed but measurable,,,
69,2023-09-12_0005,2023-09-12,0005,Female,2023-08-14,High,29,C2,High,49.302,2.391,2.051,Yes,,,,
69,2023-09-12_0006,2023-09-12,0006,Female,2023-08-23,High,20,C8,High,46.893,2.351,2.078,Yes,,,,
69,2023-09-12_0007,2023-09-12,0007,Female,2023-08-23,High,20,C8,High,45.706,2.396,2.018,Yes,,,,
69,2023-09-12_0008,2023-09-12,0008,Female,2023-08-16,High,27,C8,High,47.152,2.303,1.866,Yes,,,,
69,2023-09-12_0009,2023-09-12,0009,Female,2023-08-12,High,31,W,High,44.208,2.252,1.782,Yes,,,,
